primaryTitle,movieId,T_Const,startYear,averageRating,numVotes,Family,Biography,Musical,Reality-TV,Music,War,Action,Mystery,Sport,Drama,Short,Talk-Show,Game-Show,Fantasy,Documentary,Thriller,Adventure,Comedy,Romance,History,Film-Noir,Adult,Animation,News,Horror,Western,Sci-Fi,Crime
Nosferatu,1,0013442,-0.7584709679974656,0.1286275441735624,-0.053771673103659705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Metropolis,2,0017136,-0.7063876346641322,0.18745107358532714,-0.024546269669144003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
City Lights,3,0021749,-0.6647209679974656,0.2168628382912094,-0.02062774349099433,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Frankenstein,5,0021884,-0.6647209679974656,0.11392166182062113,-0.06318562333229459,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
M,6,0022100,-0.6647209679974656,0.18745107358532714,-0.03075401391329462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
The Maltese Falcon,7,0022111,-0.6647209679974656,-0.033137161708790615,-0.08947299288531176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Duck Soup,9,0023969,-0.6438876346641322,0.11392166182062113,-0.06765885642817511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
King Kong,10,0024216,-0.6438876346641322,0.1286275441735624,-0.05804597682214709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
It Happened One Night,11,0025316,-0.6334709679974656,0.15803930887944465,-0.051141597200625534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The 39 Steps,12,0026029,-0.6230543013307989,0.08450989711473876,-0.0688841848816178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Modern Times,14,0027977,-0.6126376346641322,0.2168628382912094,0.00097063110296977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Snow White and the Seven Dwarfs,15,0029583,-0.6022209679974656,0.08450989711473876,-0.015185877349807265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Bringing Up Baby,16,0029947,-0.5918043013307989,0.11392166182062113,-0.06715502952427752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gone with the Wind,17,0031381,-0.5813876346641322,0.17274519123238577,0.028937806225473924,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mr. Smith Goes to Washington,18,0031679,-0.5813876346641322,0.15803930887944465,-0.04659567837069753,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Wizard of Oz,19,0032138,-0.5813876346641322,0.15803930887944465,0.06021524269909876,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fantasia,20,0032455,-0.5709709679974656,0.09921577946768001,-0.053987052410337265,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Great Dictator,21,0032553,-0.5709709679974656,0.20215695593826827,-0.0057726922341623495,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
His Girl Friday,22,0032599,-0.5709709679974656,0.11392166182062113,-0.0682472283174648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Philadelphia Story,23,0032904,-0.5709709679974656,0.1286275441735624,-0.0642192909817489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Pinocchio,24,0032910,-0.5709709679974656,0.06980401476179764,-0.0356220453120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Rebecca,25,0032976,-0.5709709679974656,0.15803930887944465,-0.03853750836029582,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Citizen Kane,26,0033467,-0.5605543013307989,0.18745107358532714,0.0767279112487085,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbo,29,0033563,-0.5605543013307989,0.02568636770297414,-0.04054899041093635,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
