tconst,primaryTitle,startYear,averageRating,numVotes,War,Romance,Animation,Music,Drama,Western,Horror,Game-Show,Adult,Adventure,Fantasy,Sci-Fi,Musical,Film-Noir,Thriller,Crime,Sport,Reality-TV,Short,Talk-Show,Biography,Family,Mystery,Comedy,Action,History,News,Documentary
tt0010323,The Cabinet of Dr. Caligari,-0.809777764010641,0.1533992737670024,-0.029706965879602813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0012349,The Kid,-0.7999738424420135,0.1895438520802555,-0.0057035846324012185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0013442,Nosferatu,-0.7901699208733861,0.14135108099591812,-0.016951635397427698,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015324,Sherlock Jr.,-0.7705620777361313,0.17749565930917102,-0.035084152496657264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
tt0015648,Battleship Potemkin,-0.7607581561675038,0.1533992737670024,-0.031939901388874224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0015864,The Gold Rush,-0.7607581561675038,0.17749565930917102,-0.011464442450184418,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0017136,Metropolis,-0.7411503130302489,0.1895438520802555,0.01253585090002942,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017925,The General,-0.7509542345988763,0.17749565930917102,-0.019108531443375605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
tt0018455,Sunrise,-0.7411503130302489,0.1654474665380867,-0.034480082648427404,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018773,The Circus,-0.7313463914616214,0.1654474665380867,-0.04114067645101815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0019254,The Passion of Joan of Arc,-0.7313463914616214,0.17749565930917102,-0.033186639797680904,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0020629,All Quiet on the Western Front,-0.7117385483243666,0.1654474665380867,-0.03048395795914704,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021749,City Lights,-0.701934626755739,0.2136402376224241,0.016489517005728132,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0021814,Dracula,-0.701934626755739,0.08111011714049644,-0.03409988533180989,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021884,Frankenstein,-0.701934626755739,0.12930288822483374,-0.026450006531766657,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022100,M,-0.701934626755739,0.1895438520802555,0.006272437847488852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
tt0022913,Freaks,-0.6921307051871116,0.14135108099591812,-0.03626450112022719,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023245,The Mummy,-0.6921307051871116,0.03291734605615906,-0.04388118502765203,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023427,Scarface,-0.6921307051871116,0.11725469545374943,-0.043343504964658934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
tt0023969,Duck Soup,-0.6823267836184842,0.12930288822483374,-0.030963353966496233,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0024184,The Invisible Man,-0.6823267836184842,0.10520650268266503,-0.04069022947792917,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024216,King Kong,-0.6823267836184842,0.14135108099591812,-0.021264269527953104,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025316,It Happened One Night,-0.6725228620498567,0.1654474665380867,-0.014297973923574465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
