,T_Const,primaryTitle,movieId,tsne_score
0,120735,"Lock, Stock and Two Smoking Barrels",3409,-118.955666
1,1250777,Kick-Ass,90866,-118.916534
2,1232829,21 Jump Street,89904,-118.87549
3,3799694,The Nice Guys,168252,-118.86642
4,2294449,22 Jump Street,122900,-118.82341
5,1245526,RED,90746,-118.77343
6,910936,Pineapple Express,70183,-118.74871
7,1650554,Kick-Ass 2,106782,-118.73988
8,363226,The Blind Swordsman: Zatoichi,30816,-118.73671
9,356910,Mr. & Mrs. Smith,8985,-118.71972
10,1386588,The Other Guys,96588,-118.71923
11,120812,Rush Hour,3479,-118.66711
12,119229,Grosse Pointe Blank,3104,-118.66383
13,172156,Bad Boys II,4254,-118.65207
14,110475,The Mask,2085,-118.65197
15,266915,Rush Hour 2,6059,-118.630295
16,112442,Bad Boys,2247,-118.62095
17,95631,Midnight Run,1220,-118.6171
18,212346,Miss Congeniality,4975,-118.58441
19,990407,The Green Hornet,76175,-118.57231
20,86960,Beverly Hills Cop,805,-118.57226
21,113326,Rumble in the Bronx,2384,-118.56691
22,92644,Beverly Hills Cop II,1097,-118.49951
23,99938,Kindergarten Cop,1342,-118.49453
24,87995,Repo Man,902,-118.48402
25,83511,48 Hrs.,599,-118.4798
26,99422,Dick Tracy,1298,-118.477585
27,113845,Money Train,2411,-118.42371
28,109254,Beverly Hills Cop III,1974,-118.39355
29,208003,Big Momma's House,4890,-118.34929
30,118747,Blues Brothers 2000,2991,-118.279724
31,102926,The Silence of the Lambs,1441,-111.114944
32,407887,The Departed,46723,-111.088646
33,105236,Reservoir Dogs,1619,-111.074356
34,477348,No Country for Old Men,58293,-111.007645
35,2872718,Nightcrawler,136020,-110.58043
36,840361,The Town,68554,-110.31291
37,375679,Crash,37727,-110.30255
38,425210,Lucky Number Slevin,49649,-110.15503
39,765443,Eastern Promises,61323,-110.073135
40,200465,The Bank Job,4848,-109.93228
41,315733,21 Grams,7163,-109.929375
42,257044,Road to Perdition,5782,-109.92645
43,488120,Fracture,59784,-109.90845
44,289765,Red Dragon,6620,-109.76796
45,119396,Jackie Brown,3147,-109.75152
46,181865,Traffic,4361,-109.68082
47,258000,Panic Room,5812,-109.67441
48,212985,Hannibal,4980,-109.61598
49,134119,The Talented Mr. Ripley,3784,-109.56767
50,313542,Runaway Jury,7153,-109.53544
51,251160,John Q,5618,-109.502365
52,301199,Dirty Pretty Things,6874,-109.46873
53,264616,Frailty,5943,-109.44106
54,117665,Sleepers,2857,-109.41753
55,203119,Sexy Beast,4874,-109.3642
56,120324,A Simple Plan,3262,-109.32355
57,117913,A Time to Kill,2915,-109.30474
58,181984,Boiler Room,4367,-109.29744
59,119978,The Rainmaker,3213,-109.21938
60,118887,Cop Land,3033,-109.18957
61,106519,Carlito's Way,1719,-109.09601
62,120787,A Perfect Murder,3461,-109.04631
63,107808,A Perfect World,1892,-109.01442
64,107554,Menace II Society,1848,-108.98923
65,105226,Red Rock West,1617,-108.907364
66,114660,Things to Do in Denver When You're Dead,2478,-108.8988
67,107302,Kalifornia,1810,-108.83861
68,100150,Miller's Crossing,1343,-108.82122
69,99703,The Grifters,1321,-108.73962
70,94226,The Untouchables,1198,-108.62163
71,86979,Blood Simple,810,-108.48186
72,116731,The Juror,2724,-108.433136
73,74860,Marathon Man,431,-108.244675
74,47296,On the Waterfront,112,-108.03887
75,468569,The Dark Knight,56941,-104.04045
76,372784,Batman Begins,34520,-103.876976
77,110413,Léon: The Professional,2081,-103.804016
78,266697,Kill Bill: Vol. 1,6016,-103.77594
79,113277,Heat,2379,-103.43927
80,3397884,Sicario,157296,-103.21892
81,139654,Training Day,3861,-103.040794
82,381849,3:10 to Yuma,40629,-103.01364
83,328107,Man on Fire,8361,-103.00655
84,369339,Collateral,33660,-102.98712
85,399146,A History of Violence,45501,-102.821556
86,106977,The Fugitive,1769,-102.807625
87,375912,Layer Cake,37729,-102.710556
88,393109,Brick,44972,-102.65139
89,106856,Falling Down,1747,-102.61926
90,109506,The Crow,2004,-102.60488
91,120768,The Negotiator,3441,-102.57569
92,110632,Natural Born Killers,2100,-102.53937
93,137363,Arlington Road,3793,-102.508156
94,120784,Payback,3452,-102.50741
95,119099,Fallen,3070,-102.42596
96,227445,The Score,5065,-102.418015
97,107206,In the Line of Fire,1799,-102.40378
98,97202,The Killer,1258,-102.37422
99,109444,Clear and Present Danger,2000,-102.322105
100,116908,The Long Kiss Goodnight,2761,-102.311035
101,330793,The Punisher,8373,-102.308716
102,118548,Absolute Power,2950,-102.26946
103,119395,The Jackal,3146,-102.19078
104,116830,Last Man Standing,2739,-102.15333
105,114194,The Prophecy,2428,-102.126915
106,113501,Just Cause,2396,-102.12519
107,118972,The Devil's Own,3039,-102.10953
108,120749,Mercury Rising,3438,-102.08458
109,117774,The Substitute,2881,-102.00828
110,113957,The Net,2416,-101.97703
111,82949,The Professional,595,-101.798874
112,70034,Enter the Dragon,357,-101.56589
113,69762,Badlands,355,-101.55769
114,67116,The French Connection,337,-101.527725
115,61418,Bonnie and Clyde,249,-99.95252
116,1535109,Captain Phillips,103249,-99.930984
117,113568,Ghost in the Shell,2402,-99.57187
118,275277,Cowboy Bebop: The Movie,6331,-99.57007
119,116367,From Dusk Till Dawn,2700,-98.84416
120,181689,Minority Report,4344,-98.76753
121,287978,Daredevil,6595,-98.75176
122,137494,Entrapment,3798,-98.70944
123,103776,Batman Returns,1480,-98.227806
124,115986,The Crow: City of Angels,2640,-98.20294
125,26029,The 39 Steps,12,-96.73692
126,22100,M,6,-96.73339
127,73802,Three Days of the Condor,419,-96.707436
128,1670345,Now You See Me,107406,-96.69052
129,107497,Malice,1834,-96.68711
130,120832,Snake Eyes,3489,-96.68516
131,481369,The Number 23,59369,-96.68283
132,46912,Dial M for Murder,111,-95.43329
133,116282,Fargo,2687,-95.40343
134,115736,Bound,2599,-95.399536
135,101540,Cape Fear,1380,-95.398766
136,401792,Sin City,45720,-95.39868
137,240772,Ocean's Eleven,5283,-95.397415
138,111149,Shallow Grave,2136,-95.3972
139,183649,Phone Booth,4378,-95.39501
140,496806,Ocean's Thirteen,60072,-95.392975
141,349903,Ocean's Twelve,8961,-95.39169
142,155267,The Thomas Crown Affair,4007,-95.27396
143,110997,The River Wild,2125,-95.2217
144,114576,Sudden Death,2474,-92.87502
145,162650,Shaft,4027,-92.77578
146,120008,The Replacement Killers,3219,-92.760864
147,165929,Romeo Must Die,4128,-92.74543
148,116213,Eraser,2664,-92.738716
149,112401,Assassins,2243,-92.67764
150,285823,Once Upon a Time in Mexico,6548,-92.648155
151,388482,Transporter 2,44195,-92.63102
152,120873,U.S. Marshals,3507,-92.606224
153,244244,Swordfish,5400,-92.57787
154,122151,Lethal Weapon 4,3615,-92.55574
155,187078,Gone in 60 Seconds,4621,-92.55243
156,117438,Ransom,2805,-92.53985
157,985694,Machete,73321,-92.53098
158,104815,El Mariachi,1591,-92.52686
159,104714,Lethal Weapon 3,1589,-92.52097
160,293662,The Transporter,6754,-92.431786
161,266987,Spy Game,6155,-92.428894
162,368909,Ong-Bak: The Thai Warrior,33615,-92.425735
163,118880,Con Air,3016,-92.40453
164,479884,Crank,59022,-92.40189
165,112851,Desperado,2334,-92.36992
166,493464,Wanted,60069,-92.34983
167,122690,Ronin,3617,-92.34365
168,317740,The Italian Job,7318,-92.30414
169,102685,Point Break,1429,-92.298256
170,97733,Lethal Weapon 2,1271,-92.26191
171,1032755,RocknRolla,80219,-92.25333
172,130827,Run Lola Run,3730,-92.11664
173,93409,Lethal Weapon,1136,-92.01437
174,2911666,John Wick,137857,-91.77401
175,936501,Taken,71264,-91.75727
176,66999,Dirty Harry,332,-91.65187
177,378194,Kill Bill: Vol. 2,39183,-91.65075
178,2015381,Guardians of the Galaxy,115569,-88.22205
179,1431045,Deadpool,98809,-88.2068
180,3501632,Thor: Ragnarok,164179,-88.13914
181,3896198,Guardians of the Galaxy Vol. 2,174055,-88.1019
182,2802144,Kingsman: The Secret Service,135887,-88.08437
183,5463162,Deadpool 2,187593,-88.07667
184,478970,Ant-Man,58803,-88.03998
185,1638355,The Man from U.N.C.L.E.,106072,-87.74011
186,1409024,Men in Black 3,97913,-87.54545
187,2788710,The Interview,135569,-87.474396
188,3110958,Now You See Me 2,143355,-87.47399
189,119654,Men in Black,3173,-87.44223
190,362270,The Life Aquatic with Steve Zissou,30810,-87.09604
191,425061,Get Smart,49286,-86.931885
192,80455,The Blues Brothers,533,-86.86773
193,120188,Three Kings,3257,-86.80296
194,92007,Star Trek IV: The Voyage Home,1090,-86.66053
195,90728,Big Trouble in Little China,1028,-86.64188
196,110478,Maverick,2087,-86.58204
197,120746,The Mask of Zorro,3435,-86.57909
