,0
0,1
1,2
2,3
3,5
4,6
5,7
6,9
7,10
8,11
9,12
10,14
11,15
12,16
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,26
23,28
24,29
25,31
26,32
27,34
28,36
29,39
30,41
31,44
32,45
33,46
34,47
35,48
36,50
37,52
38,58
39,60
40,62
41,65
42,69
43,70
44,73
45,76
46,79
47,81
48,86
49,88
50,95
51,100
52,101
53,104
54,105
55,107
56,110
57,111
58,112
59,122
60,125
61,135
62,140
63,141
64,144
65,145
66,147
67,150
68,151
69,153
70,154
71,157
72,158
73,159
74,160
75,161
76,162
77,163
78,164
79,165
80,168
81,170
82,172
83,173
84,175
85,176
86,180
87,181
88,185
89,186
90,188
91,193
92,194
93,196
94,198
95,203
96,204
97,207
98,208
99,215
100,216
101,218
102,222
103,223
104,224
105,225
106,227
107,230
108,231
109,232
110,233
111,234
112,235
113,236
114,237
115,239
116,246
117,247
118,248
119,249
120,252
121,253
122,256
123,257
124,260
125,261
126,262
127,265
128,266
129,267
130,272
131,273
132,276
133,277
134,280
135,281
136,282
137,288
138,290
139,292
140,293
141,296
142,300
143,303
144,306
145,307
146,308
147,314
148,315
149,316
150,317
151,318
152,319
153,327
154,329
155,332
156,333
157,337
158,338
159,339
160,342
161,344
162,345
163,348
164,349
165,350
166,351
167,353
168,355
169,356
170,357
171,361
172,362
173,364
174,366
175,367
176,368
177,370
178,371
179,372
180,373
181,374
182,376
183,377
184,379
185,380
186,381
187,382
188,383
189,405
190,410
191,412
192,413
193,415
194,417
195,419
196,420
197,421
198,427
199,428
200,431
201,432
202,434
203,435
204,440
205,441
206,442
207,445
208,454
209,455
210,457
211,466
212,468
213,471
214,474
215,475
216,477
217,480
218,481
219,485
220,489
221,490
222,491
223,492
224,493
225,494
226,497
227,500
228,502
229,507
230,508
231,509
232,514
233,515
234,516
235,519
236,520
237,524
238,527
239,529
240,531
241,532
242,533
243,534
244,535
245,537
246,538
247,539
248,540
249,541
250,542
251,543
252,546
253,551
254,552
255,553
256,555
257,562
258,575
259,585
260,586
261,587
262,588
263,589
264,590
265,592
266,593
267,594
268,595
269,596
270,597
271,599
272,608
273,609
274,610
275,616
276,628
277,631
278,637
279,640
280,647
281,648
282,653
283,661
284,663
285,671
286,673
287,694
288,707
289,708
290,709
291,714
292,719
293,720
294,724
295,733
296,736
297,737
298,741
299,742
300,743
301,745
302,748
303,750
304,761
305,762
306,765
307,778
308,780
309,783
310,784
311,785
312,786
313,788
314,798
315,799
316,800
317,801
318,802
319,805
320,810
321,830
322,832
323,836
324,837
325,838
326,839
327,842
328,849
329,852
330,858
331,866
332,880
333,892
334,898
335,899
336,900
337,902
338,903
339,904
340,905
341,908
342,909
343,910
344,911
345,912
346,913
347,914
348,915
349,916
350,919
351,920
352,922
353,923
354,924
355,926
356,928
357,930
358,933
359,934
360,951
361,952
362,953
363,954
364,955
365,965
366,968
367,969
368,986
369,991
370,994
371,996
372,999
373,1013
374,1015
375,1019
376,1020
377,1021
378,1022
379,1023
380,1025
381,1027
382,1028
383,1029
384,1030
385,1031
386,1032
387,1033
388,1035
389,1036
390,1037
391,1041
392,1042
393,1047
394,1049
395,1057
396,1059
397,1060
398,1061
399,1064
400,1073
401,1077
402,1078
403,1079
404,1080
405,1081
406,1084
407,1086
408,1088
409,1089
410,1090
411,1091
412,1092
413,1093
414,1094
415,1095
416,1097
417,1100
418,1101
419,1103
420,1104
421,1120
422,1124
423,1125
424,1127
425,1129
426,1131
427,1135
428,1136
429,1148
430,1171
431,1172
432,1173
433,1175
434,1178
435,1179
436,1183
437,1186
438,1188
439,1189
440,1193
441,1194
442,1196
443,1197
444,1198
445,1199
446,1200
447,1201
448,1203
449,1204
450,1206
451,1207
452,1208
453,1209
454,1210
455,1211
456,1212
457,1213
458,1214
459,1215
460,1216
461,1217
462,1218
463,1219
464,1220
465,1221
466,1222
467,1223
468,1224
469,1225
470,1227
471,1228
472,1230
473,1231
474,1233
475,1234
476,1235
477,1237
478,1240
479,1242
480,1243
481,1244
482,1245
483,1246
484,1247
485,1248
486,1249
487,1250
488,1251
489,1252
490,1253
491,1254
492,1256
493,1257
494,1258
495,1259
496,1260
497,1261
498,1262
499,1263
500,1265
501,1266
502,1267
503,1269
504,1270
505,1271
506,1272
507,1273
508,1274
509,1275
510,1276
511,1277
512,1278
513,1281
514,1282
515,1283
516,1284
517,1285
518,1287
519,1288
520,1289
521,1291
522,1292
523,1293
524,1295
525,1296
526,1297
527,1298
528,1299
529,1301
530,1302
531,1303
532,1304
533,1307
534,1320
535,1321
536,1327
537,1333
538,1339
539,1342
540,1343
541,1344
542,1345
543,1347
544,1348
545,1350
546,1356
547,1357
548,1358
549,1359
550,1367
551,1370
552,1371
553,1372
554,1373
555,1374
556,1375
557,1376
558,1377
559,1378
560,1379
561,1380
562,1381
563,1385
564,1387
565,1388
566,1391
567,1393
568,1394
569,1396
570,1405
571,1407
572,1408
573,1409
574,1411
575,1416
576,1429
577,1431
578,1438
579,1441
580,1449
581,1457
582,1459
583,1464
584,1466
585,1474
586,1476
587,1479
588,1480
589,1483
590,1485
591,1488
592,1499
593,1500
594,1513
595,1515
596,1517
597,1518
598,1527
599,1537
600,1544
601,1552
602,1556
603,1562
604,1566
605,1569
606,1573
607,1580
608,1584
609,1586
610,1587
611,1588
612,1589
613,1590
614,1591
615,1597
616,1603
617,1608
618,1610
619,1614
620,1615
621,1616
622,1617
623,1619
624,1620
625,1625
626,1635
627,1639
628,1641
629,1644
630,1645
631,1653
632,1663
633,1665
634,1672
635,1673
636,1674
637,1676
638,1680
639,1682
640,1687
641,1688
642,1690
643,1693
644,1702
645,1704
646,1711
647,1717
648,1719
649,1721
650,1722
651,1726
652,1729
653,1732
654,1735
655,1747
656,1748
657,1753
658,1754
659,1769
660,1772
661,1777
662,1779
663,1784
664,1792
665,1799
666,1801
667,1805
668,1810
669,1831
670,1833
671,1834
672,1835
673,1845
674,1848
675,1876
676,1882
677,1883
678,1884
679,1885
680,1892
681,1894
682,1895
683,1907
684,1909
685,1911
686,1912
687,1916
688,1917
689,1918
690,1920
691,1921
692,1923
693,1944
694,1945
695,1947
696,1950
697,1952
698,1953
699,1954
700,1955
701,1956
702,1957
703,1958
704,1959
705,1960
706,1961
707,1962
708,1963
709,1965
710,1967
711,1968
712,1970
713,1974
714,1982
715,1991
716,1994
717,1997
718,2000
719,2001
720,2002
721,2003
722,2004
723,2005
724,2006
725,2009
726,2010
727,2011
728,2012
729,2013
730,2018
731,2019
732,2020
733,2021
734,2023
735,2028
736,2046
737,2052
738,2053
739,2054
740,2058
741,2059
742,2060
743,2064
744,2065
745,2067
746,2072
747,2076
748,2078
749,2080
750,2081
751,2082
752,2083
753,2085
754,2087
755,2088
756,2090
757,2094
758,2096
759,2100
760,2105
761,2108
762,2109
763,2110
764,2114
765,2115
766,2116
767,2117
768,2118
769,2122
770,2123
771,2124
772,2125
773,2126
774,2133
775,2134
776,2135
777,2136
778,2137
779,2139
780,2140
781,2141
782,2143
783,2144
784,2145
785,2146
786,2150
787,2153
788,2160
789,2161
790,2167
791,2174
792,2186
793,2193
794,2194
795,2231
796,2232
797,2243
798,2245
799,2247
800,2248
801,2249
802,2253
803,2268
804,2273
805,2278
806,2288
807,2289
808,2291
809,2294
810,2297
811,2300
812,2301
813,2302
814,2311
815,2312
816,2313
817,2318
818,2321
819,2324
820,2325
821,2329
822,2334
823,2335
824,2336
825,2338
826,2340
827,2346
828,2352
829,2353
830,2355
831,2359
832,2360
833,2366
834,2367
835,2369
836,2371
837,2375
838,2376
839,2378
840,2379
841,2384
842,2387
843,2391
844,2393
845,2394
