,tconst,primaryTitle
0,tt0021749,City Lights
1,tt0027977,Modern Times
2,tt0032599,His Girl Friday
3,tt0033045,The Shop Around the Corner
4,tt0045061,The Quiet Man
5,tt0047437,Sabrina
6,tt0053604,The Apartment
7,tt0054698,Breakfast at Tiffany's
8,tt0061722,The Graduate
9,tt0067185,Harold and Maude
10,tt0079522,Manhattan
11,tt0084805,Tootsie
12,tt0098635,When Harry Met Sally...
13,tt0092699,Broadcast News
14,tt0093565,Moonstruck
15,tt0097239,Driving Miss Daisy
16,tt0098258,Say Anything
17,tt0098384,Steel Magnolias
18,tt0104466,Husbands and Wives
19,tt0091790,Pretty in Pink
20,tt0096463,Working Girl
21,tt0092718,Can't Buy Me Love
22,tt0111507,Three Colors: White
23,tt0107616,Much Ado About Nothing
24,tt0106387,Benny & Joon
25,tt0100140,Mermaids
26,tt0107050,Grumpy Old Men
27,tt0101912,Frankie and Johnny
28,tt0095690,Mystic Pizza
29,tt0109831,Four Weddings and a Funeral
30,tt0108160,Sleepless in Seattle
31,tt0101745,Doc Hollywood
32,tt0094889,Cocktail
33,tt0112883,Don Juan DeMarco
34,tt0115639,Beautiful Girls
35,tt0110950,Reality Bites
36,tt0112346,The American President
37,tt0114011,Now and Then
38,tt0114924,While You Were Sleeping
39,tt0110167,It Could Happen to You
40,tt0113117,French Kiss
41,tt0103859,Boomerang
42,tt0116191,Emma
43,tt0114319,Sabrina
44,tt0117247,One Fine Day
45,tt0117918,Tin Cup
46,tt0119141,Fools Rush In
47,tt0119738,My Best Friend's Wedding
48,tt0118798,Bulworth
49,tt0120631,Ever After: A Cinderella Story
50,tt0139699,Varsity Blues
51,tt0179116,But I'm a Cheerleader
52,tt0120797,Pushing Tin
53,tt0151738,Never Been Kissed
54,tt0124298,Blast from the Past
55,tt0171433,Keeping the Faith
56,tt0198021,Where the Heart Is
57,tt0118842,Chasing Amy
58,tt0292644,The Rules of Attraction
59,tt0128853,You've Got Mail
60,tt0118789,Buffalo '66
61,tt0286499,Bend It Like Beckham
62,tt0259446,My Big Fat Greek Wedding
63,tt0328589,Under the Tuscan Sun
64,tt0274812,Secretary
65,tt0150662,Show Me Love
66,tt0337741,Something's Gotta Give
67,tt0243155,Bridget Jones's Diary
68,tt0116695,Jerry Maguire
69,tt0128445,Rushmore
70,tt0265208,The Girl Next Door
71,tt0119822,As Good as It Gets
72,tt0125439,Notting Hill
73,tt0147800,10 Things I Hate About You
74,tt0276751,About a Boy
75,tt0283900,The Spanish Apartment
76,tt0272338,Punch-Drunk Love
77,tt0364517,Love Me If You Dare
78,tt0118799,Life Is Beautiful
79,tt0301357,Good Bye Lenin!
80,tt0293715,My Sassy Girl
81,tt0343660,50 First Dates
82,tt0333766,Garden State
83,tt0375063,Sideways
84,tt0292490,Dil Chahta Hai
85,tt0314331,Love Actually
86,tt0362227,The Terminal
87,tt1045658,Silver Linings Playbook
88,tt1022603,500 Days of Summer
89,tt1570728,"Crazy, Stupid, Love."
90,tt1193138,Up in the Air
91,tt1282140,Easy A
92,tt1306980,50/50
93,tt1748122,Moonrise Kingdom
94,tt0800039,Forgetting Sarah Marshall
95,tt1041829,The Proposal
96,tt0497465,Vicky Cristina Barcelona
97,tt1655442,The Artist
98,tt0456144,"Carry On, Munna Bhai"
99,tt0431308,P.S. I Love You
100,tt1093370,Jab We Met
101,tt0805564,Lars and the Real Girl
102,tt1327035,Dev.D
103,tt0832266,"Definitely, Maybe"
104,tt0401711,"Paris, je t'aime"
105,tt0817177,Flipped
106,tt0460740,Cashback
107,tt1324059,Wake Up Sid
108,tt2082197,Barfi!
109,tt0473367,Jaane Tu
110,tt0401445,A Good Year
111,tt0804497,It's Kind of a Funny Story
112,tt1091722,Adventureland
113,tt0758752,Love & Other Drugs
114,tt0473308,Waitress
115,tt1440292,Submarine
116,tt0842926,The Kids Are All Right
117,tt1185836,Adam
118,tt1532503,Beginners
119,tt0480242,Dan in Real Life
120,tt0423977,Charlie Bartlett
121,tt1045670,Happy-Go-Lucky
122,tt1412386,The Best Exotic Marigold Hotel
123,tt2347569,Frances Ha
124,tt1082886,The Wackness
125,tt2205697,Stuck in Love.
126,tt4080728,A Man Called Ove
127,tt9052870,Chhichhore
128,tt2140465,Tanu Weds Manu Returns
129,tt8110330,Dil Bechara
130,tt3698408,Coming Soon
131,tt5462602,The Big Sick
132,tt10370710,The Worst Person in the World
133,tt3148502,Tamasha
134,tt5164432,"Love, Simon"
135,tt1478839,The Art of Racing in the Rain
136,tt5247022,Paterson
137,tt11271038,Licorice Pizza
138,tt8847712,The French Dispatch
139,tt2390361,Enough Said
140,tt2726560,The Longest Ride
141,tt3846674,To All the Boys I've Loved Before
142,tt2785032,The Little Death
143,tt3104988,Crazy Rich Asians
144,tt9683478,The Half of It
145,tt1441952,Salmon Fishing in the Yemen
146,tt1763303,The First Time
147,tt3064298,Man Up
148,tt0443465,Before We Go
149,tt1571249,The Skeleton Twins
150,tt3172532,The Diary of a Teenage Girl
151,tt9214832,Emma.
152,tt1872818,Liberal Arts
153,tt1742336,Your Sister's Sister
154,tt4513674,Café Society
155,tt1481572,Happythankyoumoreplease
156,tt1405365,Celeste & Jesse Forever
157,tt1473832,Bridget Jones's Baby
158,tt2555736,The Second Best Exotic Marigold Hotel
159,tt3165612,Sleeping with Other People
160,tt9606374,On the Rocks
161,tt2870756,Magic in the Moonlight
