,tconst,primaryTitle
0,tt2101441,Spring Breakers
1,tt1758810,The Snowman
2,tt1674784,Trespass
3,tt2193215,The Counselor
4,tt0278435,Enough
5,tt0798817,13
6,tt0947802,Lakeview Terrace
7,tt0954947,The Killer Inside Me
8,tt2039393,The Gambler
9,tt1764234,Killing Them Softly
10,tt1667310,Deadfall
11,tt0830558,The Girl Next Door
12,tt0808279,Funny Games
13,tt11196036,The Card Counter
14,tt0489664,Shattered
15,tt0482572,Pride and Glory
16,tt0398017,Derailed
17,tt3647498,Blood Father
18,tt9421570,The Guilty
19,tt14128670,Kimi
20,tt0485851,The Air I Breathe
21,tt4572792,The Book of Henry
22,tt6000478,"Roman J. Israel, Esq."
23,tt1833116,The Informer
24,tt10696896,Stillwater
25,tt8688634,21 Bridges
26,tt1972571,A Most Wanted Man
27,tt1869716,The East
28,tt4218572,Widows
29,tt1529572,Trust
30,tt5165344,Rustom
31,tt7740496,Nightmare Alley
32,tt7959026,The Mule
33,tt5723272,In the Fade
34,tt3716530,Elle
35,tt7395114,The Devil All the Time
36,tt13510660,Dhamaka
37,tt6768578,Dogman
38,tt1600196,The Drop
39,tt2359024,Blue Ruin
40,tt4633690,Shot Caller
41,tt4846232,Good Time
42,tt0914863,Unthinkable
43,tt6742252,The Guilty
44,tt5727208,Uncut Gems
45,tt8075192,Shoplifters
46,tt2582782,Hell or High Water
47,tt12361178,Drishyam 2
48,tt5571734,Pink
49,tt2377938,Special 26
50,tt3417422,Drishyam
51,tt0427470,The Lookout
52,tt1817273,The Place Beyond the Pines
53,tt1343097,The Girl Who Kicked the Hornet's Nest
54,tt2872718,Nightcrawler
55,tt7286456,Joker
56,tt0840361,The Town
57,tt0200465,The Bank Job
58,tt0407887,The Departed
59,tt0477348,No Country for Old Men
60,tt0102926,The Silence of the Lambs
61,tt0105236,Reservoir Dogs
62,tt0292963,Before the Devil Knows You're Dead
63,tt0488120,Fracture
64,tt0780571,Mr. Brooks
65,tt0765443,Eastern Promises
66,tt0425210,Lucky Number Slevin
